#name,link
Training:Blockchain At Berkley,https://blockchain.berkeley.edu/resources/
Whitepaper:Bitcoin,https://bitcoin.org/bitcoin.pdf
Training:Bitcoin 101,https://www.youtube.com/watch?v=Bhe61JaNFLU&index=6&list=PLzctEq7iZD-7-DgJM604zsndMapn9ff6q
Article:Bitcoin is the real disruptor,https://www.youtube.com/watch?v=_0mykANOMGQ
Article:Scale Bitcoin,http://imgur.com/MUrvsjYi
Article:Block Size,https://imgur.com/gallery/Awpt58c/new
Article:Increase Block Size Proposal,http://bitcoin.stackexchange.com/questions/36085/what-are-the-arguments-for-and-against-the-increase-of-the-block-size-limit-RSK
Article:Segregated Witness,https://bitcoincore.org/en/2016/01/26/segwit-benefits/
Article:Lightning Network,https://bitcoinmagazine.com/articles/understanding-the-lightning-network-part-building-a-bidirectional-payment-channel-1464710791
Article:critiques of Bitcoin,https://bitcoinmagazine.com/articles/mimblewimble-how-a-stripped-down-version-of-bitcoin-could-improve-privacy-fungibility-and-scalability-all-at-once-1471038001
Article:RSK - smart-contracts secured by the Bitcoin network,http://www.rsk.co/
Article:Bitcoin Price Chart, smart-contracts secured by the Bitcoin network


 
